a,b,p,chp
Gen,1,1,50
창세기,1,0,50
창,1,0,50
Genesis,1,0,50
Ge,1,0,50
Gn,1,0,50
Exo,2,1,40
출,2,0,40
Exodus,2,0,40
출에굽기,2,0,40
Ex,2,0,40
Exod,2,0,40
Lev,3,1,27
Leviticus,3,0,27
레,3,0,27
레위기,3,0,27
Le,3,0,27
Lv,3,0,27
Num,4,1,36
Numbers,4,0,36
민,4,0,36
Nu,4,0,36
민수기,4,0,36
Nm,4,0,36
Nb,4,0,36
Deut,5,1,34
Deuteronomy,5,0,34
신,5,0,34
신명기,5,0,34
Dt,5,0,34
Josh,6,1,24
Joshua,6,0,24
수,6,0,24
Jos,6,0,24
여호수아,6,0,24
Jsh,6,0,24
Judg,7,1,21
Judges,7,0,21
Jdg,7,0,21
삿,7,0,21
사사기,7,0,21
Jg,7,0,21
Jdgs,7,0,21
Rth,8,1,4
Ruth,8,0,4
룻,8,0,4
룻기,8,0,4
Ru,8,0,4
1 Sam,9,1,31
1 Sa,9,0,31
삼상,9,0,31
사무엘상,9,0,31
1Samuel,9,0,31
사무엘 상,9,0,31
1S,9,0,31
I Sa,9,0,31
1 Sm,9,0,31
1Sa,9,0,31
I Sam,9,0,31
1Sam,9,0,31
I Samuel,9,0,31
1st Samuel,9,0,31
First Samuel,9,0,31
2 Sam,10,1,24
삼하,10,0,24
사무엘하,10,0,24
사무엘 하,10,0,24
2 Sa,10,0,24
2S,10,0,24
II Sa,10,0,24
2 Sm,10,0,24
2Sa,10,0,24
II Sam,10,0,24
2Sam,10,0,24
II Samuel,10,0,24
2Samuel,10,0,24
2nd Samuel,10,0,24
Second Samuel,10,0,24
1 Kgs,11,1,22
1 Ki,11,0,22
왕상,11,0,22
열왕기상,11,0,22
열왕기 상,11,0,22
1K,11,0,22
I Kgs,11,0,22
1Kgs,11,0,22
I Ki,11,0,22
1Ki,11,0,22
I Kings,11,0,22
1Kings,11,0,22
1st Kgs,11,0,22
1st Kings,11,0,22
First Kings,11,0,22
First Kgs,11,0,22
1Kin,11,0,22
2 Kgs,12,1,25
2 Ki,12,0,25
왕하,12,0,25
열왕기하,12,0,25
열왕기 하,12,0,25
2K,12,0,25
II Kgs,12,0,25
2Kgs,12,0,25
II Ki,12,0,25
2Ki,12,0,25
II Kings,12,0,25
2Kings,12,0,25
2nd Kgs,12,0,25
2nd Kings,12,0,25
Second Kings,12,0,25
Second Kgs,12,0,25
2Kin,12,0,25
1 Chron,13,1,29
1 Ch,13,0,29
대상,13,0,29
역대상,13,0,29
역대 상,13,0,29
I Ch,13,0,29
1Ch,13,0,29
1 Chr,13,0,29
I Chr,13,0,29
1Chr,13,0,29
I Chron,13,0,29
1Chron,13,0,29
I Chronicles,13,0,29
1Chronicles,13,0,29
1st Chronicles,13,0,29
First Chronicles,13,0,29
2 Chron,14,1,36
2 Ch,14,0,36
대하,14,0,36
역대하,14,0,36
역대 하,14,0,36
II Ch,14,0,36
2Ch,14,0,36
II Chr,14,0,36
2Chr,14,0,36
II Chron,14,0,36
2Chron,14,0,36
II Chronicles,14,0,36
2Chronicles,14,0,36
2nd Chronicles,14,0,36
Second Chronicles,14,0,36
Ezra,15,1,10
Ezr,15,0,10
스,15,0,10
에스라,15,0,10
Neh,16,1,13
Nehemiah,16,0,13
느,16,0,13
느헤미아,16,0,13
